workload,db,strategy,arm,n,ra_kb,fq_median,fq_p95,fq_min,fq_stdev,delivery_pct_median,preproc_us_median,e2e_median,cold_pct_max
B,orig,baseline,baseline,5,128,727.82,734.55,722.19,4.43,0.0,0.00,727.82,0.0
B,orig,layers_1,async,5,128,687.11,695.07,682.82,4.94,100.0,207.33,896.13,0.0
B,orig,layers_1,pread,1,128,690.71,,690.71,0,100.0,326.15,1016.86,0.0
B,orig,layers_13,async,5,128,391.05,564.41,379.86,79.21,100.0,222.23,645.19,0.0
B,orig,layers_13,pread,1,128,391.63,,391.63,0,100.0,1479.63,1871.26,0.0
B,orig,layers_2,async,5,128,696.94,701.74,690.18,4.53,100.0,208.32,910.74,0.0
B,orig,layers_2,pread,1,128,695.81,,695.81,0,100.0,423.39,1119.20,0.0
B,orig,layers_21,async,5,128,390.49,396.79,388.17,3.29,100.0,232.48,627.01,0.0
B,orig,layers_21,pread,1,128,380.97,,380.97,0,100.0,2143.52,2524.49,0.0
B,orig,layers_3,async,5,128,685.76,694.41,676.28,6.40,100.0,215.39,896.30,0.0
B,orig,layers_3,pread,1,128,686.09,,686.09,0,100.0,427.93,1114.02,0.0
B,orig,layers_34,async,5,128,382.41,971.26,376.03,294.51,100.0,252.75,638.14,0.0
B,orig,layers_34,pread,1,128,381.80,,381.80,0,100.0,3248.84,3630.64,0.0
B,orig,layers_46,async,5,128,391.33,393.37,377.32,6.47,100.0,267.57,656.48,0.0
B,orig,layers_46,pread,1,128,1349.71,,1349.71,0,100.0,4062.22,5411.93,0.0
B,orig,layers_5,async,5,128,388.75,393.43,375.59,6.33,100.0,210.94,598.50,0.0
B,orig,layers_5,pread,1,128,371.04,,371.04,0,100.0,617.42,988.46,0.0
B,orig,layers_64,async,5,128,384.05,391.37,377.28,4.95,100.0,297.65,680.08,0.0
B,orig,layers_64,pread,1,128,383.02,,383.02,0,100.0,10228.65,10611.67,0.0
B,orig,layers_8,async,5,128,384.36,390.30,372.10,7.28,100.0,215.49,598.50,0.0
B,orig,layers_8,pread,1,128,389.71,,389.71,0,100.0,965.79,1355.50,0.0
B,orig,layers_92,async,5,128,387.95,394.29,382.74,4.21,100.0,358.80,746.78,0.0
B,orig,layers_92,pread,1,128,388.82,,388.82,0,100.0,8102.48,8491.30,0.0
C,orig,baseline,baseline,5,128,1061.23,1064.33,869.40,75.12,0.0,0.00,1061.23,0.0
C,orig,layers_1,async,5,128,1027.78,1488.83,1012.38,231.81,100.0,205.87,1229.32,0.0
C,orig,layers_1,pread,1,128,1028.17,,1028.17,0,100.0,324.53,1352.70,0.0
C,orig,layers_13,async,5,128,1019.37,1023.73,1012.94,3.85,100.0,220.24,1239.61,0.0
C,orig,layers_13,pread,1,128,1023.93,,1023.93,0,100.0,1463.14,2487.07,0.0
C,orig,layers_2,async,5,128,1021.64,1026.81,1020.45,2.76,100.0,215.59,1237.23,0.0
C,orig,layers_2,pread,1,128,1024.57,,1024.57,0,100.0,424.84,1449.41,0.0
C,orig,layers_21,async,5,128,1016.25,1024.17,1015.39,3.99,100.0,265.50,1281.99,0.0
C,orig,layers_21,pread,1,128,1019.32,,1019.32,0,100.0,2016.93,3036.25,0.0
C,orig,layers_3,async,5,128,1018.11,1552.78,1014.72,267.73,100.0,209.12,1227.23,0.0
C,orig,layers_3,pread,1,128,1009.73,,1009.73,0,100.0,427.67,1437.40,0.0
C,orig,layers_34,async,5,128,1012.22,1022.50,1010.79,5.08,100.0,253.36,1264.68,0.0
C,orig,layers_34,pread,1,128,1015.85,,1015.85,0,100.0,3132.75,4148.60,0.0
C,orig,layers_46,async,5,128,1009.30,1014.24,893.89,45.91,100.0,265.97,1269.32,0.0
C,orig,layers_46,pread,1,128,1025.62,,1025.62,0,100.0,4242.75,5268.37,0.0
C,orig,layers_5,async,5,128,1020.28,1023.44,1016.58,2.92,100.0,213.13,1236.45,0.0
C,orig,layers_5,pread,1,128,1023.07,,1023.07,0,100.0,624.55,1647.62,0.0
C,orig,layers_64,async,5,128,1020.01,1026.70,955.96,26.37,100.0,294.60,1313.16,0.0
C,orig,layers_64,pread,1,128,1022.44,,1022.44,0,100.0,5668.01,6690.45,0.0
C,orig,layers_8,async,5,128,1016.73,1021.07,1013.42,3.01,100.0,217.98,1232.14,0.0
C,orig,layers_8,pread,1,128,1015.26,,1015.26,0,100.0,967.05,1982.31,0.0
C,orig,layers_92,async,5,128,631.47,638.28,568.42,26.22,100.0,341.69,975.11,0.0
C,orig,layers_92,pread,1,128,635.62,,635.62,0,100.0,8092.38,8728.00,0.0
