workload,db,strategy,arm,ra_kb,rep,warmup,cold_pct,delivery_pct,first_query_us,preproc_us,e2e_us,avg_us,majflt,minflt,load,memavail_kb
A,ta,layers_46,async,128,1,1,0.00,100.00,489.04,322.63,811.67,2.18,176.00,276.00,1.52,53997668
A,ta,layers_64,pread,128,1,1,0.00,100.00,186.04,969.25,1155.29,2.16,175.00,275.00,1.52,54005064
A,ta,layers_64,async,128,1,1,0.00,54.70,462.08,342.22,804.30,2.18,176.00,276.00,1.52,54005760
A,ta,layers_92,pread,128,1,1,0.00,100.00,183.56,971.85,1155.41,2.15,175.00,275.00,1.52,54005536
A,ta,layers_92,async,128,1,1,0.00,100.00,425.45,381.42,806.87,2.20,176.00,276.00,1.52,54006536
B,orig,layers_1,pread,128,1,1,0.00,100.00,694.81,319.63,1014.44,2.27,182.00,271.00,1.52,54007316
B,orig,layers_1,async,128,1,1,0.00,100.00,689.56,270.46,960.02,2.27,182.00,271.00,1.52,54006784
B,orig,layers_2,pread,128,1,1,0.00,100.00,680.97,363.92,1044.89,2.27,182.00,271.00,1.56,54006948
B,orig,layers_2,async,128,1,1,0.00,100.00,689.61,295.20,984.81,2.28,182.00,271.00,1.56,54007116
B,orig,layers_3,pread,128,1,1,0.00,100.00,681.82,370.12,1051.94,2.24,181.00,272.00,1.56,54006852
B,orig,layers_3,async,128,1,1,0.00,100.00,690.19,269.58,959.77,2.26,182.00,271.00,1.56,54006744
B,orig,layers_4,pread,128,1,1,0.00,100.00,380.50,472.21,852.71,2.29,181.00,273.00,1.56,54007204
B,orig,layers_4,async,128,1,1,0.00,100.00,386.50,305.44,691.94,2.30,182.00,272.00,1.56,54197560
B,orig,layers_5,pread,128,1,1,0.00,100.00,381.82,669.97,1051.79,2.28,181.00,273.00,1.56,54004760
B,orig,layers_5,async,128,1,1,0.00,100.00,380.51,304.34,684.85,2.29,182.00,272.00,1.56,54005040
B,orig,layers_6,pread,128,1,1,0.00,100.00,383.51,705.40,1088.91,2.28,181.00,271.00,1.56,54005208
B,orig,layers_6,async,128,1,1,0.00,100.00,389.30,271.46,660.76,2.28,182.00,270.00,1.56,54006352
B,orig,layers_8,pread,128,1,1,0.00,100.00,378.88,922.99,1301.87,2.27,181.00,272.00,1.56,54006848
B,orig,layers_8,async,128,1,1,0.00,100.00,376.24,280.14,656.38,2.27,182.00,270.00,1.56,54005884
B,orig,layers_12,pread,128,1,1,0.00,100.00,364.86,1351.64,1716.50,2.28,181.00,273.00,1.56,54015116
B,orig,layers_12,async,128,1,1,0.00,100.00,385.43,283.97,669.40,2.27,182.00,270.00,1.56,54015656
B,orig,layers_16,pread,128,1,1,0.00,100.00,385.01,1690.97,2075.98,2.24,182.00,277.00,1.56,54015780
B,orig,layers_16,async,128,1,1,0.00,100.00,391.05,318.83,709.88,2.29,183.00,275.00,1.59,54016496
B,orig,layers_24,pread,128,1,1,0.00,100.00,391.80,2325.19,2716.99,2.28,180.00,281.00,1.59,54016616
B,orig,layers_24,async,128,1,1,0.00,100.00,391.37,330.26,721.63,2.26,181.00,277.00,1.59,54016444
B,orig,layers_32,pread,128,1,1,0.00,100.00,383.32,3133.91,3517.23,2.27,180.00,281.00,1.59,54017268
B,orig,layers_32,async,128,1,1,0.00,100.00,388.43,347.17,735.60,2.28,181.00,278.00,1.59,54017504
B,orig,layers_46,pread,128,1,1,0.00,100.00,384.94,4349.54,4734.48,2.28,180.00,281.00,1.59,54017324
B,orig,layers_46,async,128,1,1,0.00,100.00,379.19,330.42,709.61,2.28,181.00,278.00,1.59,54017416
B,orig,layers_64,pread,128,1,1,0.00,100.00,387.26,5843.40,6230.66,2.25,180.00,281.00,1.59,54018320
B,orig,layers_64,async,128,1,1,0.00,100.00,387.51,394.28,781.79,2.27,181.00,278.00,1.59,54018340
B,orig,layers_92,pread,128,1,1,0.00,100.00,384.00,8224.71,8608.71,2.26,180.00,281.00,1.59,54018472
B,orig,layers_92,async,128,1,1,0.00,100.00,377.11,416.11,793.22,2.29,181.00,278.00,1.59,54018528
B,vacuum,layers_1,pread,128,1,1,0.00,100.00,911.29,349.13,1260.42,2.14,144.00,235.00,1.59,54018592
B,vacuum,layers_1,async,128,1,1,0.00,100.00,922.09,268.58,1190.67,2.17,144.00,235.00,1.59,54019788
B,vacuum,layers_2,pread,128,1,1,0.00,100.00,943.40,519.11,1462.51,2.13,144.00,235.00,1.59,54019704
B,vacuum,layers_2,async,128,1,1,0.00,100.00,920.35,267.64,1187.99,2.14,144.00,235.00,1.59,54020068
B,vacuum,layers_3,pread,128,1,1,0.00,100.00,907.23,520.35,1427.58,2.15,143.00,237.00,1.59,54022036
B,vacuum,layers_3,async,128,1,1,0.00,100.00,920.66,269.85,1190.51,2.17,144.00,235.00,1.79,54027332
B,vacuum,layers_4,pread,128,1,1,0.00,100.00,505.11,616.41,1121.52,2.12,143.00,238.00,1.79,54027364
B,vacuum,layers_4,async,128,1,1,0.00,100.00,476.20,272.95,749.15,2.16,144.00,236.00,1.79,54026568
B,vacuum,layers_5,pread,128,1,1,0.00,100.00,509.55,782.36,1291.91,2.14,142.00,238.00,1.79,54027740
B,vacuum,layers_5,async,128,1,1,0.00,100.00,506.66,285.57,792.23,2.13,143.00,235.00,1.79,54028048
B,vacuum,layers_6,pread,128,1,1,0.00,100.00,505.38,869.91,1375.29,2.10,142.00,236.00,1.79,54027656
B,vacuum,layers_6,async,128,1,1,0.00,100.00,510.17,271.31,781.48,2.17,143.00,233.00,1.79,54026608
B,vacuum,layers_8,pread,128,1,1,0.00,100.00,512.86,1087.65,1600.51,2.15,143.00,235.00,1.79,54027620
B,vacuum,layers_8,async,128,1,1,0.00,100.00,508.46,309.69,818.15,2.17,144.00,232.00,1.79,54027052
B,vacuum,layers_12,pread,128,1,1,0.00,100.00,509.35,1395.57,1904.92,2.14,144.00,238.00,1.79,54027524
B,vacuum,layers_12,async,128,1,1,0.00,100.00,506.73,277.88,784.61,2.14,145.00,235.00,1.79,54028008
B,vacuum,layers_16,pread,128,1,1,0.00,100.00,515.37,1736.57,2251.94,2.11,144.00,238.00,1.79,54027664
B,vacuum,layers_16,async,128,1,1,0.00,100.00,505.83,279.45,785.28,2.11,145.00,235.00,1.79,54028628
B,vacuum,layers_24,pread,128,1,1,0.00,100.00,507.52,2393.43,2900.95,2.13,144.00,238.00,1.79,54028376
B,vacuum,layers_24,async,128,1,1,0.00,100.00,513.97,294.48,808.45,2.12,145.00,235.00,1.79,54029452
B,vacuum,layers_32,pread,128,1,1,0.00,100.00,512.92,3052.86,3565.78,2.11,144.00,238.00,1.79,54030756
B,vacuum,layers_32,async,128,1,1,0.00,100.00,511.98,304.22,816.20,2.14,145.00,235.00,1.80,54027224
