workload,N,rep,first_query_us,avg_us,majflt,minflt
A,71,1,176.62,2.09,176,276
A,71,2,161.50,2.06,176,276
A,71,3,161.14,2.08,176,276
A,72,1,179.78,2.10,176,276
A,72,2,174.29,2.07,176,277
A,72,3,177.38,2.07,176,276
A,73,1,172.73,2.08,176,276
A,73,2,176.74,2.07,176,276
A,73,3,206.35,2.10,176,276
A,74,1,161.70,2.09,176,276
A,74,2,171.47,2.07,176,276
A,74,3,173.85,2.16,176,276
A,75,1,198.43,2.06,176,276
A,75,2,178.53,2.13,176,276
A,75,3,169.37,2.15,176,275
A,76,1,165.10,2.09,176,276
A,76,2,215.49,2.07,176,276
A,76,3,164.49,2.11,176,276
A,77,1,181.59,2.10,176,276
A,77,2,213.84,2.10,176,276
A,77,3,205.65,2.07,176,276
A,78,1,165.09,2.11,176,276
A,78,2,180.26,2.09,176,276
A,78,3,192.03,2.07,176,276
A,79,1,206.73,2.09,176,276
A,79,2,185.66,2.08,176,276
A,79,3,168.96,2.07,176,276
A,80,1,200.97,2.09,176,276
A,80,2,175.80,2.09,176,276
A,80,3,164.05,2.08,176,277
A,81,1,169.82,2.08,176,276
A,81,2,161.26,2.09,176,276
A,81,3,158.31,2.09,176,276
A,82,1,162.70,2.10,176,276
A,82,2,228.78,2.06,176,276
A,82,3,195.87,2.05,176,276
A,83,1,160.55,2.03,176,276
A,83,2,168.39,2.07,176,276
A,83,3,165.05,2.09,176,276
A,84,1,198.39,2.06,176,276
A,84,2,187.52,2.01,176,276
A,84,3,170.87,2.04,176,276
A,85,1,164.24,2.03,176,276
A,85,2,165.29,2.04,176,275
A,85,3,160.19,2.01,176,276
A,86,1,161.31,2.01,176,277
A,86,2,158.43,2.03,176,276
A,86,3,158.14,2.05,176,276
A,87,1,167.53,2.03,176,276
A,87,2,159.24,2.04,176,276
A,87,3,161.73,2.03,176,276
A,88,1,196.09,2.02,176,276
A,88,2,159.90,2.02,176,276
A,88,3,160.88,2.03,176,276
A,89,1,166.32,2.03,176,276
A,89,2,163.68,2.08,176,276
A,89,3,153.02,2.06,176,276
A,90,1,164.38,2.05,176,275
A,90,2,158.40,2.05,176,276
A,90,3,154.82,2.05,176,275
A,91,1,149.43,2.16,176,276
A,91,2,153.55,2.08,176,276
A,91,3,158.68,2.06,176,276
A,92,1,203.29,2.06,176,275
A,92,2,148.52,2.11,176,275
A,92,3,156.46,2.08,176,276
B,0,1,738.30,2.17,182,277
B,0,2,730.22,2.18,182,277
B,0,3,720.75,2.15,182,277
B,1,1,938.32,2.15,182,275
B,1,2,923.57,2.15,182,275
B,1,3,849.72,2.15,182,275
B,2,1,924.62,2.18,182,275
B,2,2,934.20,2.22,182,275
B,2,3,924.18,2.12,182,275
B,3,1,929.32,2.15,182,275
B,3,2,931.45,2.13,182,275
B,3,3,857.60,2.14,182,275
B,4,1,649.07,2.18,182,275
B,4,2,537.96,2.11,182,276
B,4,3,650.61,2.10,182,275
B,5,1,665.75,2.11,182,275
B,5,2,574.21,2.14,182,275
B,5,3,652.92,2.15,182,275
B,6,1,521.31,2.17,182,275
B,6,2,529.07,2.13,182,275
B,6,3,521.63,2.16,182,275
B,7,1,525.36,2.13,182,275
