workload,N,rep,first_query_us,avg_us,majflt,minflt
B,20,1,356.46,2.11,181,278
B,20,2,350.53,2.13,181,278
B,20,3,338.40,2.17,181,278
B,21,1,365.69,2.13,181,278
B,21,2,349.62,2.14,181,278
B,21,3,355.84,2.14,181,278
B,22,1,349.89,2.12,181,277
B,22,2,347.22,2.17,181,278
B,22,3,347.57,2.14,181,278
B,23,1,345.16,2.14,181,278
B,23,2,350.34,2.11,181,278
B,23,3,346.51,2.11,181,278
B,24,1,344.07,2.18,181,278
B,24,2,354.65,2.13,181,278
B,24,3,353.75,2.11,181,278
B,25,1,361.26,2.15,181,278
B,25,2,354.61,2.16,181,278
B,25,3,368.40,2.15,181,278
B,26,1,354.29,2.10,181,278
B,26,2,356.03,2.09,181,277
B,26,3,360.03,2.13,181,277
B,27,1,359.06,2.14,181,278
B,27,2,349.53,2.12,181,278
B,27,3,349.80,2.14,181,278
B,28,1,351.21,2.12,181,278
B,28,2,357.32,2.13,181,278
B,28,3,354.91,2.12,181,278
B,29,1,377.38,2.18,181,278
B,29,2,354.95,2.12,181,278
B,29,3,382.21,2.11,181,278
B,30,1,352.43,2.14,181,278
B,30,2,351.98,2.14,181,278
B,30,3,354.19,2.16,181,278
B,31,1,356.74,2.13,181,278
B,31,2,363.53,2.14,181,277
B,31,3,350.68,2.10,181,278
B,32,1,355.93,2.13,181,278
B,32,2,348.97,2.12,181,279
B,32,3,346.19,2.16,181,277
B,33,1,352.70,2.14,181,278
B,33,2,424.93,2.15,181,278
B,33,3,351.46,2.14,181,278
B,34,1,362.48,2.15,181,278
B,34,2,356.79,2.08,181,278
B,34,3,346.41,2.10,181,278
B,35,1,351.56,2.15,181,277
B,35,2,365.20,2.14,181,277
B,35,3,352.35,2.11,181,277
B,36,1,352.11,2.19,181,278
B,36,2,375.74,2.14,181,278
B,36,3,351.19,2.19,181,279
B,37,1,356.50,2.16,181,278
B,37,2,353.38,2.11,181,278
B,37,3,355.76,2.13,181,277
B,38,1,346.29,2.14,181,278
B,38,2,337.67,2.12,181,277
B,38,3,342.22,2.13,181,278
B,39,1,358.60,2.11,181,278
B,39,2,355.47,2.11,181,277
B,39,3,355.99,2.11,181,278
B,40,1,348.22,2.13,181,278
B,40,2,352.91,2.19,181,278
B,40,3,349.51,2.09,181,277
B,41,1,350.52,2.09,181,277
B,41,2,364.20,2.09,181,278
B,41,3,346.39,2.11,181,277
B,42,1,349.23,2.16,181,278
B,42,2,373.50,2.12,181,278
B,42,3,363.00,2.13,181,278
B,43,1,357.88,2.16,181,278
B,43,2,361.76,2.16,181,278
B,43,3,358.31,2.16,181,278
B,44,1,335.07,2.08,181,277
B,44,2,352.39,2.10,181,277
B,44,3,337.77,2.08,181,278
B,45,1,360.44,2.12,181,278
B,45,2,338.44,2.16,181,277
B,45,3,352.78,2.11,181,277
B,46,1,353.12,2.15,181,278
B,46,2,357.65,2.16,181,277
B,46,3,340.49,2.13,181,278
B,47,1,342.01,2.10,181,277
B,47,2,350.84,2.14,181,278
B,47,3,357.19,2.09,181,278
B,48,1,359.44,2.12,181,277
B,48,2,375.71,2.12,181,277
B,48,3,351.53,2.17,181,278
B,49,1,355.97,2.15,181,278
B,49,2,341.31,2.16,181,278
B,49,3,356.15,2.14,181,278
B,50,1,352.55,2.10,181,279
B,50,2,349.88,2.10,181,278
B,50,3,351.51,2.10,181,277
B,51,1,362.37,2.14,181,277
B,51,2,363.24,2.12,181,278
B,51,3,348.70,2.10,181,277
B,52,1,350.83,2.14,181,278
B,52,2,360.40,2.13,181,278
B,52,3,352.04,2.13,181,278
B,53,1,348.48,2.19,181,277
B,53,2,351.21,2.16,181,278
B,53,3,358.12,2.11,181,278
B,54,1,350.64,2.18,181,278
B,54,2,353.21,2.13,181,278
B,54,3,347.97,2.13,181,278
B,55,1,351.89,2.11,181,278
B,55,2,348.64,2.16,181,278
B,55,3,362.29,2.13,181,278
B,56,1,362.58,2.15,181,278
B,56,2,361.42,2.14,181,278
B,56,3,357.95,2.17,181,278
B,57,1,350.96,2.12,181,277
B,57,2,352.82,2.13,181,278
B,57,3,361.45,2.12,181,277
B,58,1,350.38,2.12,181,278
B,58,2,352.22,2.15,181,278
B,58,3,353.94,2.13,181,278
B,59,1,348.16,2.14,181,278
B,59,2,345.52,2.17,181,277
B,59,3,349.69,2.14,181,278
B,60,1,349.71,2.12,181,278
B,60,2,419.06,2.16,181,278
B,60,3,355.64,2.18,181,278
B,61,1,375.57,2.11,181,278
B,61,2,361.91,2.09,181,278
B,61,3,358.08,2.10,181,278
B,62,1,357.98,2.13,181,278
B,62,2,362.68,2.14,181,278
B,62,3,348.60,2.11,181,278
B,63,1,354.42,2.13,181,278
B,63,2,348.99,2.15,181,278
B,63,3,356.01,2.16,181,278
B,64,1,353.75,2.14,181,278
B,64,2,362.79,2.17,181,278
B,64,3,362.91,2.14,181,278
B,65,1,349.67,2.13,181,279
B,65,2,353.28,2.14,181,277
B,65,3,344.25,2.10,181,277
B,66,1,348.40,2.12,181,277
B,66,2,347.37,2.17,181,277
B,66,3,352.49,2.15,181,278
B,67,1,354.60,2.13,181,278
B,67,2,344.78,2.12,181,278
B,67,3,366.02,2.11,181,278
B,68,1,354.47,2.12,181,277
B,68,2,372.65,2.13,181,278
B,68,3,358.58,2.12,181,277
B,69,1,348.61,2.12,181,278
B,69,2,360.91,2.15,181,277
B,69,3,359.04,2.14,181,277
B,70,1,348.73,2.17,181,279
B,70,2,351.97,2.17,181,278
B,70,3,358.94,2.13,181,278
B,71,1,348.87,2.12,181,278
B,71,2,349.18,2.13,181,278
B,71,3,354.79,2.10,181,277
B,72,1,360.14,2.12,181,279
B,72,2,357.98,2.16,181,277
B,72,3,351.36,2.12,181,277
B,73,1,347.35,2.16,181,278
B,73,2,345.86,2.14,181,278
B,73,3,343.55,2.16,181,278
B,74,1,347.12,2.13,181,278
B,74,2,358.07,2.13,181,278
B,74,3,367.16,2.13,181,278
B,75,1,349.01,2.16,181,278
B,75,2,348.46,2.16,181,278
B,75,3,364.51,2.14,181,278
B,76,1,352.90,2.13,181,277
B,76,2,350.17,2.11,181,277
B,76,3,351.18,2.17,181,277
B,77,1,355.85,2.18,181,278
B,77,2,354.01,2.12,181,278
B,77,3,353.82,2.12,181,278
B,78,1,348.76,2.12,181,278
B,78,2,349.42,2.08,181,277
B,78,3,347.22,2.09,181,277
B,79,1,369.65,2.16,181,278
B,79,2,364.44,2.11,181,277
B,79,3,350.10,2.17,181,279
B,80,1,345.56,2.14,181,278
B,80,2,352.32,2.14,181,278
B,80,3,358.98,2.16,181,278
B,81,1,345.29,2.14,181,278
B,81,2,347.77,2.12,181,278
B,81,3,356.25,2.14,181,278
B,82,1,338.27,2.10,181,277
B,82,2,344.80,2.10,181,278
B,82,3,345.06,2.13,181,277
B,83,1,366.01,2.13,181,278
B,83,2,349.44,2.13,181,277
B,83,3,344.79,2.14,181,278
B,84,1,343.89,2.14,181,278
B,84,2,353.64,2.08,181,278
B,84,3,348.44,2.17,181,278
B,85,1,350.72,2.14,181,278
B,85,2,356.78,2.14,181,278
B,85,3,344.45,2.16,181,278
B,86,1,344.60,2.09,181,277
B,86,2,344.77,2.08,181,278
B,86,3,362.82,2.10,181,278
B,87,1,340.51,2.16,181,278
B,87,2,347.84,2.15,181,278
B,87,3,352.42,2.12,181,277
B,88,1,352.66,2.13,181,278
B,88,2,344.29,2.16,181,278
B,88,3,354.92,2.15,181,278
B,89,1,339.74,2.08,181,277
B,89,2,377.82,2.10,181,278
B,89,3,348.08,2.08,181,278
B,90,1,349.95,2.14,181,277
B,90,2,353.88,2.12,181,278
B,90,3,350.30,2.13,181,278
B,91,1,344.41,2.12,181,279
B,91,2,342.38,2.18,181,278
B,91,3,348.85,2.13,181,278
B,92,1,350.49,2.15,181,278
B,92,2,353.52,2.13,181,278
B,92,3,381.91,2.16,181,278
C,0,1,1196.47,1.53,24,25
C,0,2,1072.13,1.55,24,25
C,0,3,1079.27,1.55,24,25
C,1,1,989.17,1.55,24,25
C,1,2,968.97,1.57,24,25
C,1,3,980.13,1.53,24,25
C,2,1,972.19,1.53,24,25
