workload,N,rep,first_query_us,avg_us,majflt,minflt
B,52,1,443.86,2.01,145,235
B,52,2,443.56,2.00,145,235
B,52,3,435.61,2.00,145,235
B,53,1,444.62,2.00,145,235
B,53,2,448.41,2.03,145,235
B,53,3,448.41,2.08,145,235
B,54,1,1234.84,2.04,145,235
B,54,2,445.48,2.00,145,235
B,54,3,432.28,1.98,145,235
B,55,1,449.52,2.00,145,235
B,55,2,437.47,2.02,145,235
B,55,3,433.55,2.01,145,236
B,56,1,437.73,2.02,145,235
B,56,2,449.03,2.02,145,235
B,56,3,452.54,2.00,145,235
B,57,1,444.11,1.98,145,235
B,57,2,445.75,1.99,145,236
B,57,3,440.63,2.03,145,235
B,58,1,437.60,2.00,145,235
B,58,2,437.44,1.99,145,235
B,58,3,437.73,1.98,145,235
B,59,1,440.56,2.05,145,235
B,59,2,434.95,2.01,145,235
B,59,3,452.12,2.00,145,235
B,60,1,443.31,2.05,145,235
B,60,2,510.68,2.04,145,235
B,60,3,435.36,2.00,145,235
B,61,1,437.39,2.04,145,235
B,61,2,444.50,1.99,145,236
B,61,3,440.45,2.02,145,235
B,62,1,452.74,2.02,145,235
B,62,2,441.38,2.03,145,235
B,62,3,449.73,2.00,145,235
B,63,1,458.11,1.99,145,235
B,63,2,432.82,1.99,145,235
B,63,3,433.19,1.98,145,235
B,64,1,438.63,2.00,145,235
B,64,2,450.37,1.99,145,235
B,64,3,445.26,1.99,145,235
B,65,1,437.21,2.00,145,235
B,65,2,445.25,1.99,145,235
B,65,3,443.67,2.01,145,235
B,66,1,449.34,2.00,145,235
B,66,2,442.45,2.02,145,235
B,66,3,444.65,2.00,145,235
B,67,1,438.03,2.02,145,236
B,67,2,441.54,2.00,145,235
B,67,3,446.27,2.00,145,235
B,68,1,441.58,2.01,145,235
B,68,2,439.15,2.00,145,235
B,68,3,433.50,2.00,145,235
B,69,1,448.47,2.01,145,235
B,69,2,445.63,2.00,145,235
B,69,3,441.50,2.01,145,236
B,70,1,446.74,2.01,145,235
B,70,2,481.38,2.01,145,235
B,70,3,442.39,2.04,145,235
B,71,1,454.74,1.99,145,235
B,71,2,441.92,1.99,145,235
B,71,3,436.83,1.98,145,235
B,72,1,434.42,1.99,145,235
B,72,2,440.77,2.00,145,235
B,72,3,431.88,1.99,145,235
B,73,1,441.23,2.02,145,235
B,73,2,447.26,2.01,145,235
B,73,3,451.74,2.01,145,235
B,74,1,437.67,1.98,145,235
B,74,2,443.08,2.00,145,235
B,74,3,450.80,1.99,145,235
B,75,1,442.22,1.99,145,235
B,75,2,442.39,2.02,145,235
B,75,3,438.54,2.07,145,235
B,76,1,446.81,2.03,145,236
B,76,2,441.22,2.01,145,235
B,76,3,435.77,2.03,145,235
B,77,1,435.74,2.07,145,236
B,77,2,446.45,1.98,145,235
B,77,3,445.77,1.99,145,235
B,78,1,453.24,2.02,145,235
B,78,2,440.56,2.03,145,235
B,78,3,437.67,2.01,145,236
B,79,1,441.80,2.05,145,235
B,79,2,443.78,2.04,145,235
B,79,3,447.92,2.02,145,235
B,80,1,446.85,1.99,145,235
B,80,2,439.10,2.01,145,235
B,80,3,440.84,2.01,145,235
B,81,1,452.22,2.00,145,235
