workload,db,strategy,mem_limit,rep,first_query_us,avg_us,majflt,minflt
A,vacuum,base,20M,1,338.77,1.69,142,219
A,vacuum,2d,20M,1,242.65,1.70,142,228
A,vacuum,2e_K10,20M,1,250.20,1.73,143,234
A,vacuum,2e_K50,20M,1,252.41,1.72,148,238
A,vacuum,2e_K100,20M,1,264.37,1.73,147,259
A,vacuum,2e_K500,20M,1,84.82,1.73,145,325
A,vacuum,2f_SLRU,20M,1,17.26,1.49,0,215
A,vacuum,base,20M,2,339.18,1.71,142,219
A,vacuum,2d,20M,2,240.53,1.72,142,228
A,vacuum,2e_K10,20M,2,240.41,1.73,143,234
A,vacuum,2e_K50,20M,2,247.06,1.71,148,238
A,vacuum,2e_K100,20M,2,271.09,1.71,147,259
A,vacuum,2e_K500,20M,2,86.62,1.73,145,325
A,vacuum,2f_SLRU,20M,2,15.93,1.49,0,215
A,vacuum,base,20M,3,336.89,1.74,142,219
A,vacuum,2d,20M,3,243.05,1.70,142,228
A,vacuum,2e_K10,20M,3,242.55,1.73,143,234
A,vacuum,2e_K50,20M,3,250.12,1.72,148,239
A,vacuum,2e_K100,20M,3,269.74,1.73,147,259
A,vacuum,2e_K500,20M,3,76.89,1.72,145,322
A,vacuum,2f_SLRU,20M,3,16.13,1.50,0,215
A,vacuum,base,20M,4,334.59,1.72,142,220
A,vacuum,2d,20M,4,246.24,1.71,142,228
A,vacuum,2e_K10,20M,4,240.64,1.73,143,234
A,vacuum,2e_K50,20M,4,255.07,1.71,148,239
A,vacuum,2e_K100,20M,4,214.24,1.73,147,257
A,vacuum,2e_K500,20M,4,81.48,1.72,145,324
A,vacuum,2f_SLRU,20M,4,19.00,1.52,0,215
A,vacuum,base,20M,5,339.55,1.70,142,219
A,vacuum,2d,20M,5,243.77,1.70,142,228
A,vacuum,2e_K10,20M,5,239.07,1.72,143,234
A,vacuum,2e_K50,20M,5,245.01,1.71,148,238
A,vacuum,2e_K100,20M,5,259.95,1.73,147,260
A,vacuum,2e_K500,20M,5,82.14,1.75,145,324
A,vacuum,2f_SLRU,20M,5,20.46,1.50,0,215
A,vacuum,base,20M,6,337.57,1.70,142,219
A,vacuum,2d,20M,6,257.48,1.72,142,228
A,vacuum,2e_K10,20M,6,245.63,1.70,143,236
A,vacuum,2e_K50,20M,6,235.82,1.72,148,238
A,vacuum,2e_K100,20M,6,267.21,1.78,147,259
A,vacuum,2e_K500,20M,6,83.16,1.72,145,323
A,vacuum,2f_SLRU,20M,6,19.48,1.51,0,215
A,vacuum,base,none,1,335.86,1.69,142,219
A,vacuum,2d,none,1,247.66,1.69,142,228
A,vacuum,2e_K10,none,1,246.76,1.71,143,234
A,vacuum,2e_K50,none,1,241.62,1.75,148,238
A,vacuum,2e_K100,none,1,226.31,1.71,147,259
A,vacuum,2e_K500,none,1,78.88,1.72,145,322
A,vacuum,2f_SLRU,none,1,15.91,1.50,0,215
A,vacuum,base,none,2,361.67,1.71,142,219
A,vacuum,2d,none,2,243.59,1.71,142,228
A,vacuum,2e_K10,none,2,241.34,1.72,143,234
A,vacuum,2e_K50,none,2,245.48,1.71,148,237
A,vacuum,2e_K100,none,2,209.24,1.71,147,258
A,vacuum,2e_K500,none,2,76.00,1.74,145,325
A,vacuum,2f_SLRU,none,2,34.84,1.52,0,215
A,vacuum,base,none,3,337.74,1.73,142,219
A,vacuum,2d,none,3,239.99,1.69,142,228
A,vacuum,2e_K10,none,3,239.45,1.70,143,234
A,vacuum,2e_K50,none,3,249.97,1.71,148,238
A,vacuum,2e_K100,none,3,210.00,1.73,147,259
A,vacuum,2e_K500,none,3,77.41,1.77,145,323
A,vacuum,2f_SLRU,none,3,14.89,1.49,0,216
A,vacuum,base,none,4,339.24,1.72,142,219
A,vacuum,2d,none,4,247.82,1.73,142,228
A,vacuum,2e_K10,none,4,240.53,1.71,143,235
A,vacuum,2e_K50,none,4,243.36,1.71,148,239
A,vacuum,2e_K100,none,4,266.58,1.73,147,261
A,vacuum,2e_K500,none,4,78.42,1.73,145,324
A,vacuum,2f_SLRU,none,4,17.01,1.49,0,215
A,vacuum,base,none,5,332.33,1.73,142,219
A,vacuum,2d,none,5,240.50,1.73,142,228
A,vacuum,2e_K10,none,5,232.74,1.72,143,234
A,vacuum,2e_K50,none,5,257.72,1.70,148,239
A,vacuum,2e_K100,none,5,219.67,1.71,147,257
A,vacuum,2e_K500,none,5,78.59,1.76,145,322
A,vacuum,2f_SLRU,none,5,16.69,1.54,0,215
A,vacuum,base,none,6,334.00,1.69,142,220
A,vacuum,2d,none,6,231.18,1.69,142,228
A,vacuum,2e_K10,none,6,240.01,1.73,143,234
A,vacuum,2e_K50,none,6,239.57,1.71,148,239
A,vacuum,2e_K100,none,6,267.73,1.71,147,260
A,vacuum,2e_K500,none,6,82.15,1.71,145,322
A,vacuum,2f_SLRU,none,6,14.56,1.50,0,215
A,ta,base,20M,1,409.58,1.81,205,351
A,ta,2d,20M,1,128.73,1.85,199,286
A,ta,2e_K10,20M,1,240.65,1.83,210,306
A,ta,2e_K50,20M,1,284.69,1.87,213,375
A,ta,2e_K100,20M,1,390.54,1.91,216,331
A,ta,2e_K500,20M,1,111.98,1.89,224,440
A,ta,2f_SLRU,20M,1,17.40,1.87,182,535
A,ta,base,20M,2,410.91,1.85,219,298
A,ta,2d,20M,2,134.01,1.84,200,326
A,ta,2e_K10,20M,2,259.14,1.85,209,342
A,ta,2e_K50,20M,2,246.02,1.86,224,315
A,ta,2e_K100,20M,2,333.41,1.85,207,369
A,ta,2e_K500,20M,2,113.62,1.88,225,455
A,ta,2f_SLRU,20M,2,16.95,1.82,179,495
A,ta,base,20M,3,409.99,1.85,216,375
A,ta,2d,20M,3,132.28,1.89,271,379
A,ta,2e_K10,20M,3,252.84,1.83,221,383
A,ta,2e_K50,20M,3,252.03,1.83,202,325
A,ta,2e_K100,20M,3,317.47,1.88,206,352
A,ta,2e_K500,20M,3,111.55,1.85,213,454
A,ta,2f_SLRU,20M,3,16.02,1.80,172,502
A,ta,base,20M,4,409.74,1.83,205,332
A,ta,2d,20M,4,121.07,1.85,213,372
A,ta,2e_K10,20M,4,260.12,1.87,223,379
A,ta,2e_K50,20M,4,256.33,1.85,225,374
A,ta,2e_K100,20M,4,389.18,1.92,224,386
A,ta,2e_K500,20M,4,81.43,1.85,219,429
A,ta,2f_SLRU,20M,4,15.40,1.76,168,515
A,ta,base,20M,5,405.56,1.80,199,289
A,ta,2d,20M,5,128.62,1.83,208,354
A,ta,2e_K10,20M,5,252.43,1.80,200,292
A,ta,2e_K50,20M,5,249.13,1.85,222,378
A,ta,2e_K100,20M,5,397.70,1.85,198,334
A,ta,2e_K500,20M,5,219.40,1.81,211,442
A,ta,2f_SLRU,20M,5,15.94,1.79,181,490
A,ta,base,20M,6,403.50,1.83,202,328
A,ta,2d,20M,6,133.17,1.81,191,288
A,ta,2e_K10,20M,6,249.43,1.84,214,347
A,ta,2e_K50,20M,6,255.52,1.81,206,338
