workload,db,strategy,mem_limit,rep,first_query_us,avg_us,majflt,minflt
B,ta,2e_K50,none,6,260.49,1.84,183,282
B,ta,2e_K100,none,6,295.07,1.88,184,286
B,ta,2e_K500,none,6,248.10,1.84,186,321
B,ta,2f_SLRU,none,6,15.75,1.54,0,280
C,orig,base,20M,1,484.45,1.48,24,25
C,orig,2d,20M,1,256.46,1.52,24,25
C,orig,2e_K10,20M,1,79.80,1.55,23,33
C,orig,2e_K50,20M,1,82.25,1.50,22,51
C,orig,2e_K100,20M,1,83.97,1.52,23,62
C,orig,2e_K500,20M,1,81.80,1.48,0,36
C,orig,2f_SLRU,20M,1,20.74,1.50,0,37
C,orig,base,20M,2,678.10,1.52,24,25
C,orig,2d,20M,2,251.88,1.53,24,25
C,orig,2e_K10,20M,2,84.86,1.49,23,34
C,orig,2e_K50,20M,2,79.45,1.50,22,51
C,orig,2e_K100,20M,2,79.99,1.49,23,62
C,orig,2e_K500,20M,2,83.13,1.47,0,36
C,orig,2f_SLRU,20M,2,16.47,1.49,0,36
C,orig,base,20M,3,697.40,1.52,24,25
C,orig,2d,20M,3,267.27,1.50,24,25
C,orig,2e_K10,20M,3,81.74,1.49,23,33
C,orig,2e_K50,20M,3,76.83,1.50,22,51
C,orig,2e_K100,20M,3,82.50,1.49,23,63
C,orig,2e_K500,20M,3,75.44,1.46,0,36
C,orig,2f_SLRU,20M,3,15.26,1.46,0,37
C,orig,base,20M,4,685.52,1.51,24,25
C,orig,2d,20M,4,261.09,1.51,24,25
C,orig,2e_K10,20M,4,82.03,1.51,23,33
C,orig,2e_K50,20M,4,95.47,1.51,22,51
C,orig,2e_K100,20M,4,86.89,1.50,23,62
C,orig,2e_K500,20M,4,76.82,1.47,0,36
C,orig,2f_SLRU,20M,4,16.49,1.47,0,36
C,orig,base,20M,5,678.43,1.51,24,25
C,orig,2d,20M,5,246.49,1.52,24,25
C,orig,2e_K10,20M,5,78.21,1.48,23,33
C,orig,2e_K50,20M,5,82.80,1.52,22,51
C,orig,2e_K100,20M,5,82.62,1.51,23,61
C,orig,2e_K500,20M,5,85.39,1.45,0,36
C,orig,2f_SLRU,20M,5,15.79,1.45,0,36
C,orig,base,20M,6,672.08,1.48,24,25
C,orig,2d,20M,6,250.09,1.51,24,25
C,orig,2e_K10,20M,6,87.78,1.50,23,33
C,orig,2e_K50,20M,6,79.36,1.50,22,51
C,orig,2e_K100,20M,6,82.38,1.54,23,61
C,orig,2e_K500,20M,6,80.94,1.48,0,36
C,orig,2f_SLRU,20M,6,17.45,1.48,0,36
C,orig,base,none,1,666.97,1.50,24,25
C,orig,2d,none,1,242.06,1.51,24,25
C,orig,2e_K10,none,1,73.83,1.49,23,34
C,orig,2e_K50,none,1,77.87,1.50,22,51
C,orig,2e_K100,none,1,76.25,1.50,23,62
C,orig,2e_K500,none,1,77.98,1.47,0,36
C,orig,2f_SLRU,none,1,16.77,1.49,0,36
C,orig,base,none,2,666.42,1.53,24,25
C,orig,2d,none,2,240.73,1.50,24,25
C,orig,2e_K10,none,2,84.39,1.51,23,33
C,orig,2e_K50,none,2,79.56,1.54,22,51
C,orig,2e_K100,none,2,81.60,1.51,23,62
C,orig,2e_K500,none,2,79.90,1.48,0,37
C,orig,2f_SLRU,none,2,15.13,1.45,0,36
C,orig,base,none,3,665.73,1.49,24,25
C,orig,2d,none,3,240.70,1.51,24,25
C,orig,2e_K10,none,3,75.29,1.50,23,34
C,orig,2e_K50,none,3,80.91,1.50,22,52
C,orig,2e_K100,none,3,79.00,1.48,23,61
C,orig,2e_K500,none,3,101.45,1.47,0,36
C,orig,2f_SLRU,none,3,19.41,1.46,0,37
C,orig,base,none,4,664.18,1.51,24,25
C,orig,2d,none,4,240.08,1.50,24,25
C,orig,2e_K10,none,4,74.58,1.49,23,33
C,orig,2e_K50,none,4,79.26,1.51,22,51
C,orig,2e_K100,none,4,75.73,1.50,23,62
C,orig,2e_K500,none,4,78.74,1.46,0,36
C,orig,2f_SLRU,none,4,16.01,1.48,0,37
C,orig,base,none,5,677.08,1.52,24,25
C,orig,2d,none,5,248.61,1.52,24,25
C,orig,2e_K10,none,5,87.83,1.50,23,34
C,orig,2e_K50,none,5,78.74,1.50,22,51
C,orig,2e_K100,none,5,80.90,1.51,23,64
C,orig,2e_K500,none,5,101.56,1.46,0,37
C,orig,2f_SLRU,none,5,17.05,1.48,0,36
C,orig,base,none,6,669.92,1.51,24,25
C,orig,2d,none,6,256.56,1.50,24,25
C,orig,2e_K10,none,6,79.23,1.50,23,33
C,orig,2e_K50,none,6,89.53,1.49,22,51
C,orig,2e_K100,none,6,77.80,1.51,23,60
C,orig,2e_K500,none,6,87.67,1.48,0,36
C,orig,2f_SLRU,none,6,19.03,1.48,0,36
C,vacuum,base,20M,1,445.88,1.43,14,33
C,vacuum,2d,20M,1,253.30,1.45,14,36
C,vacuum,2e_K10,20M,1,77.00,1.44,12,44
C,vacuum,2e_K50,20M,1,90.28,1.43,13,59
C,vacuum,2e_K100,20M,1,82.80,1.44,13,64
C,vacuum,2e_K500,20M,1,85.60,1.45,0,29
C,vacuum,2f_SLRU,20M,1,15.46,1.42,0,29
C,vacuum,base,20M,2,444.38,1.44,14,34
C,vacuum,2d,20M,2,249.38,1.43,14,37
C,vacuum,2e_K10,20M,2,76.11,1.42,12,44
C,vacuum,2e_K50,20M,2,85.97,1.45,13,59
C,vacuum,2e_K100,20M,2,78.40,1.44,13,64
C,vacuum,2e_K500,20M,2,75.14,1.41,0,29
C,vacuum,2f_SLRU,20M,2,16.74,1.46,0,30
C,vacuum,base,20M,3,440.15,1.43,14,33
C,vacuum,2d,20M,3,255.75,1.47,14,36
C,vacuum,2e_K10,20M,3,79.71,1.45,12,45
C,vacuum,2e_K50,20M,3,80.22,1.48,13,57
C,vacuum,2e_K100,20M,3,86.39,1.46,13,63
C,vacuum,2e_K500,20M,3,85.58,1.43,0,29
C,vacuum,2f_SLRU,20M,3,20.14,1.43,0,29
C,vacuum,base,20M,4,453.01,1.44,14,33
C,vacuum,2d,20M,4,252.88,1.45,14,36
C,vacuum,2e_K10,20M,4,78.93,1.43,12,44
C,vacuum,2e_K50,20M,4,90.72,1.44,13,59
C,vacuum,2e_K100,20M,4,79.83,1.43,13,64
C,vacuum,2e_K500,20M,4,85.55,1.43,0,29
C,vacuum,2f_SLRU,20M,4,16.40,1.41,0,29
C,vacuum,base,20M,5,445.56,1.45,14,33
C,vacuum,2d,20M,5,237.06,1.44,14,36
C,vacuum,2e_K10,20M,5,79.68,1.47,12,44
C,vacuum,2e_K50,20M,5,86.06,1.45,13,59
C,vacuum,2e_K100,20M,5,80.90,1.43,13,63
C,vacuum,2e_K500,20M,5,81.32,1.41,0,29
C,vacuum,2f_SLRU,20M,5,17.80,1.41,0,29
C,vacuum,base,20M,6,451.16,1.44,14,34
C,vacuum,2d,20M,6,244.39,1.43,14,37
C,vacuum,2e_K10,20M,6,89.20,1.47,12,44
C,vacuum,2e_K50,20M,6,79.76,1.43,13,58
C,vacuum,2e_K100,20M,6,78.23,1.45,13,63
C,vacuum,2e_K500,20M,6,81.07,1.42,0,29
C,vacuum,2f_SLRU,20M,6,20.54,1.43,0,29
C,vacuum,base,none,1,438.53,1.44,14,34
C,vacuum,2d,none,1,251.41,1.44,14,37
C,vacuum,2e_K10,none,1,79.48,1.45,12,45
C,vacuum,2e_K50,none,1,81.44,1.44,13,59
C,vacuum,2e_K100,none,1,77.92,1.46,13,63
C,vacuum,2e_K500,none,1,87.28,1.43,0,29
C,vacuum,2f_SLRU,none,1,34.62,1.42,0,29
C,vacuum,base,none,2,444.60,1.46,14,34
C,vacuum,2d,none,2,295.17,1.45,14,36
C,vacuum,2e_K10,none,2,74.80,1.48,12,44
C,vacuum,2e_K50,none,2,75.09,1.44,13,59
C,vacuum,2e_K100,none,2,83.54,1.45,13,65
C,vacuum,2e_K500,none,2,81.58,1.42,0,29
C,vacuum,2f_SLRU,none,2,19.60,1.43,0,29
C,vacuum,base,none,3,440.90,1.44,14,33
C,vacuum,2d,none,3,247.32,1.46,14,36
C,vacuum,2e_K10,none,3,77.44,1.46,12,44
C,vacuum,2e_K50,none,3,84.80,1.44,13,59
C,vacuum,2e_K100,none,3,84.41,1.45,13,64
C,vacuum,2e_K500,none,3,81.30,1.41,0,29
C,vacuum,2f_SLRU,none,3,16.05,1.43,0,29
C,vacuum,base,none,4,435.27,1.47,14,34
C,vacuum,2d,none,4,241.46,1.44,14,36
C,vacuum,2e_K10,none,4,76.18,1.45,12,45
C,vacuum,2e_K50,none,4,106.15,1.45,13,59
C,vacuum,2e_K100,none,4,73.41,1.44,13,63
C,vacuum,2e_K500,none,4,88.36,1.41,0,29
C,vacuum,2f_SLRU,none,4,18.23,1.43,0,29
C,vacuum,base,none,5,435.21,1.44,14,33
C,vacuum,2d,none,5,277.47,1.45,14,36
C,vacuum,2e_K10,none,5,76.90,1.45,12,45
C,vacuum,2e_K50,none,5,85.73,1.44,13,58
C,vacuum,2e_K100,none,5,77.28,1.45,13,64
C,vacuum,2e_K500,none,5,81.52,1.45,0,29
C,vacuum,2f_SLRU,none,5,15.99,1.41,0,29
C,vacuum,base,none,6,439.31,1.48,14,33
C,vacuum,2d,none,6,245.09,1.45,14,36
C,vacuum,2e_K10,none,6,76.07,1.47,12,44
C,vacuum,2e_K50,none,6,78.65,1.47,13,58
C,vacuum,2e_K100,none,6,81.41,1.48,13,64
C,vacuum,2e_K500,none,6,81.48,1.44,0,29
C,vacuum,2f_SLRU,none,6,15.30,1.42,0,29
C,ta,base,20M,1,459.07,1.54,25,27
C,ta,2d,20M,1,442.38,1.53,24,28
C,ta,2e_K10,20M,1,82.68,1.53,23,34
C,ta,2e_K50,20M,1,76.80,1.53,22,49
C,ta,2e_K100,20M,1,79.45,1.52,23,63
C,ta,2e_K500,20M,1,86.02,1.48,0,37
C,ta,2f_SLRU,20M,1,19.03,1.48,0,37
C,ta,base,20M,2,464.04,1.52,25,27
C,ta,2d,20M,2,451.27,1.52,24,28
C,ta,2e_K10,20M,2,88.11,1.51,23,34
C,ta,2e_K50,20M,2,86.22,1.53,22,49
C,ta,2e_K100,20M,2,87.61,1.50,23,61
C,ta,2e_K500,20M,2,88.40,1.50,0,37
C,ta,2f_SLRU,20M,2,16.64,1.48,0,37
C,ta,base,20M,3,458.03,1.53,25,27
C,ta,2d,20M,3,445.14,1.52,24,28
C,ta,2e_K10,20M,3,79.99,1.50,23,34
C,ta,2e_K50,20M,3,80.96,1.52,22,50
C,ta,2e_K100,20M,3,76.41,1.50,23,61
C,ta,2e_K500,20M,3,79.31,1.49,0,37
C,ta,2f_SLRU,20M,3,18.73,1.50,0,37
C,ta,base,20M,4,458.65,1.52,25,27
C,ta,2d,20M,4,433.63,1.52,24,28
C,ta,2e_K10,20M,4,84.98,1.51,23,34
C,ta,2e_K50,20M,4,86.34,1.52,22,49
C,ta,2e_K100,20M,4,80.94,1.53,23,63
C,ta,2e_K500,20M,4,78.83,1.50,0,37
C,ta,2f_SLRU,20M,4,15.67,1.49,0,37
C,ta,base,20M,5,467.59,1.51,25,27
C,ta,2d,20M,5,444.81,1.53,24,28
C,ta,2e_K10,20M,5,85.97,1.52,23,35
C,ta,2e_K50,20M,5,92.26,1.52,22,48
C,ta,2e_K100,20M,5,80.16,1.52,23,62
C,ta,2e_K500,20M,5,78.88,1.47,0,37
C,ta,2f_SLRU,20M,5,15.82,1.46,0,37
C,ta,base,20M,6,503.48,1.51,25,27
C,ta,2d,20M,6,435.27,1.51,24,28
C,ta,2e_K10,20M,6,80.50,1.52,23,34
C,ta,2e_K50,20M,6,94.98,1.50,22,49
C,ta,2e_K100,20M,6,82.97,1.52,23,62
C,ta,2e_K500,20M,6,82.06,1.47,0,37
C,ta,2f_SLRU,20M,6,16.58,1.48,0,37
C,ta,base,none,1,462.72,1.51,25,27
C,ta,2d,none,1,440.44,1.51,24,29
C,ta,2e_K10,none,1,77.29,1.51,23,35
C,ta,2e_K50,none,1,75.40,1.51,22,48
C,ta,2e_K100,none,1,88.65,1.50,23,62
C,ta,2e_K500,none,1,82.02,1.47,0,37
C,ta,2f_SLRU,none,1,16.59,1.52,0,37
C,ta,base,none,2,468.29,1.52,25,27
C,ta,2d,none,2,437.58,1.52,24,28
C,ta,2e_K10,none,2,81.30,1.53,23,34
C,ta,2e_K50,none,2,84.25,1.52,22,49
C,ta,2e_K100,none,2,82.02,1.51,23,64
C,ta,2e_K500,none,2,77.31,1.51,0,38
C,ta,2f_SLRU,none,2,19.11,1.53,0,37
C,ta,base,none,3,452.71,1.53,25,27
C,ta,2d,none,3,426.45,1.51,24,28
C,ta,2e_K10,none,3,82.69,1.52,23,34
C,ta,2e_K50,none,3,87.81,1.53,22,49
C,ta,2e_K100,none,3,80.62,1.54,23,62
C,ta,2e_K500,none,3,81.20,1.48,0,37
C,ta,2f_SLRU,none,3,19.04,1.49,0,37
C,ta,base,none,4,461.60,1.51,25,27
C,ta,2d,none,4,452.92,1.52,24,28
C,ta,2e_K10,none,4,83.30,1.54,23,35
C,ta,2e_K50,none,4,74.72,1.51,22,49
C,ta,2e_K100,none,4,79.55,1.51,23,62
C,ta,2e_K500,none,4,90.64,1.49,0,37
C,ta,2f_SLRU,none,4,17.54,1.48,0,37
C,ta,base,none,5,466.46,1.53,25,27
C,ta,2d,none,5,465.12,1.52,24,28
C,ta,2e_K10,none,5,78.78,1.50,23,34
C,ta,2e_K50,none,5,82.70,1.52,22,50
C,ta,2e_K100,none,5,82.30,1.53,23,62
C,ta,2e_K500,none,5,79.04,1.50,0,37
C,ta,2f_SLRU,none,5,18.05,1.51,0,37
C,ta,base,none,6,490.94,1.58,25,27
C,ta,2d,none,6,433.69,1.52,24,28
C,ta,2e_K10,none,6,77.67,1.52,23,34
C,ta,2e_K50,none,6,78.58,1.51,22,50
C,ta,2e_K100,none,6,77.89,1.52,23,62
C,ta,2e_K500,none,6,80.70,1.50,0,37
C,ta,2f_SLRU,none,6,20.35,1.47,0,37
