workload,db,strategy,arm,ra_kb,rep,warmup,cold_pct,delivery_pct,first_query_us,preproc_us,e2e_us,avg_us,majflt,minflt,load,memavail_kb
Z,orig,layers_92,pread,128,3,0,0.00,100.00,217.21,8041.49,8258.70,1.43,1.00,11.00,0.49,55189908
Z,orig,layers_92,async,128,3,0,0.00,100.00,382.16,363.35,745.51,1.45,2.00,10.00,0.49,55190292
Z,orig,2d,pread,128,3,0,0.00,100.00,218.13,611.07,829.20,1.43,1.00,11.00,0.49,55191580
Z,orig,2d,async,128,3,0,0.00,100.00,422.20,239.87,662.07,1.44,2.00,10.00,0.49,55191656
Z,orig,2e_K10,pread,128,3,0,0.00,100.00,208.48,966.63,1175.11,1.47,1.00,12.00,0.49,55191232
Z,orig,2e_K10,async,128,3,0,0.00,100.00,204.94,250.84,455.78,1.43,2.00,11.00,0.53,55191576
Z,orig,2e_K500,pread,128,3,0,0.00,100.00,203.58,1482.55,1686.13,1.44,0.00,10.00,0.53,55191528
Z,orig,2e_K500,async,128,3,0,0.00,52.60,204.51,278.53,483.04,1.43,0.00,10.00,0.53,55192592
Z,orig,2f_slru,pread,128,3,0,0.00,100.00,120.18,2338.89,2459.07,1.42,0.00,10.00,0.53,55191676
Z,orig,2f_slru,async,128,3,0,0.00,84.80,118.79,360.94,479.73,1.43,0.00,10.00,0.53,55192580
Z,vacuum,layers_5,pread,128,3,0,0.00,100.00,213.33,752.59,965.92,1.43,1.00,12.00,0.53,55192732
Z,vacuum,layers_5,async,128,3,0,0.00,100.00,507.33,242.92,750.25,1.43,1.00,11.00,0.53,55193060
Z,vacuum,layers_92,pread,128,3,0,0.00,100.00,211.48,7430.08,7641.56,1.42,1.00,12.00,0.53,55192780
Z,vacuum,layers_92,async,128,3,0,0.00,100.00,572.61,353.15,925.76,1.45,1.00,11.00,0.53,55163200
Z,vacuum,2d,pread,128,3,0,0.00,100.00,217.40,759.42,976.82,1.49,1.00,12.00,0.53,55161348
Z,vacuum,2d,async,128,3,0,0.00,100.00,574.70,244.25,818.95,1.46,1.00,11.00,0.53,55180820
Z,vacuum,2e_K10,pread,128,3,0,0.00,100.00,201.55,1019.74,1221.29,1.42,1.00,11.00,0.53,55180336
Z,vacuum,2e_K10,async,128,3,0,0.00,40.00,201.51,253.60,455.11,1.43,2.00,11.00,0.53,55181340
Z,vacuum,2e_K500,pread,128,3,0,0.00,100.00,200.96,1235.18,1436.14,1.44,0.00,10.00,0.53,55180644
Z,vacuum,2e_K500,async,128,3,0,0.00,21.10,200.16,275.82,475.98,1.42,0.00,10.00,0.53,55181768
Z,vacuum,2f_slru,pread,128,3,0,0.00,100.00,114.38,1968.64,2083.02,1.44,0.00,10.00,0.53,55181676
Z,vacuum,2f_slru,async,128,3,0,0.00,96.90,116.16,339.36,455.52,1.44,0.00,10.00,0.53,55181996
Z,ta,layers_5,pread,128,3,0,0.00,100.00,575.88,418.84,994.72,1.45,3.00,12.00,0.53,55182028
Z,ta,layers_5,async,128,3,0,0.00,100.00,601.16,241.50,842.66,1.45,3.00,12.00,0.53,55181520
Z,ta,layers_92,pread,128,3,0,0.00,100.00,202.47,936.77,1139.24,1.43,1.00,10.00,0.53,55181296
Z,ta,layers_92,async,128,3,0,0.00,100.00,401.31,337.23,738.54,1.44,3.00,12.00,0.53,55182092
Z,ta,2d,pread,128,3,0,0.00,100.00,202.80,1024.41,1227.21,1.43,1.00,13.00,0.57,55183236
Z,ta,2d,async,128,3,0,0.00,68.90,472.66,285.06,757.72,1.44,3.00,12.00,0.57,55184144
Z,ta,2e_K10,pread,128,3,0,0.00,100.00,207.48,1048.82,1256.30,1.44,1.00,11.00,0.57,55184480
Z,ta,2e_K10,async,128,3,0,0.00,56.40,205.09,297.10,502.19,1.44,2.00,13.00,0.57,55184924
Z,ta,2e_K500,pread,128,3,0,0.00,100.00,201.65,1074.62,1276.27,1.43,0.00,11.00,0.57,55185188
Z,ta,2e_K500,async,128,3,0,0.00,39.70,201.29,320.83,522.12,1.45,0.00,11.00,0.57,55186012
Z,ta,2f_slru,pread,128,3,0,0.00,100.00,114.42,1583.42,1697.84,1.44,0.00,11.00,0.57,55186208
Z,ta,2f_slru,async,128,3,0,0.00,74.40,116.73,367.15,483.88,1.43,0.00,11.00,0.57,55187040
Z,orig,baseline,baseline,128,4,0,0.00,0.00,525.44,0.00,525.44,1.46,2.00,10.00,0.57,55187720
Z,vacuum,baseline,baseline,128,4,0,0.00,0.00,702.96,0.00,702.96,1.43,2.00,11.00,0.57,55188568
Z,ta,baseline,baseline,128,4,0,0.00,0.00,762.93,0.00,762.93,1.48,3.00,13.00,0.57,55190384
Z,orig,layers_5,pread,128,4,0,0.00,100.00,213.56,610.96,824.52,1.43,1.00,11.00,0.57,55189736
Z,orig,layers_5,async,128,4,0,0.00,100.00,410.99,236.43,647.42,1.43,2.00,10.00,0.57,55190104
Z,orig,layers_92,pread,128,4,0,0.00,100.00,216.03,8014.15,8230.18,1.44,1.00,11.00,0.57,55154948
Z,orig,layers_92,async,128,4,0,0.00,100.00,385.82,365.82,751.64,1.44,2.00,10.00,0.57,55163900
Z,orig,2d,pread,128,4,0,0.00,100.00,216.34,631.92,848.26,1.44,1.00,11.00,0.57,55181508
Z,orig,2d,async,128,4,0,0.00,100.00,411.41,244.46,655.87,1.44,2.00,10.00,0.57,55181844
Z,orig,2e_K10,pread,128,4,0,0.00,100.00,205.25,996.28,1201.53,1.43,1.00,12.00,0.57,55200168
Z,orig,2e_K10,async,128,4,0,0.00,100.00,203.13,252.59,455.72,1.43,2.00,11.00,0.57,55202540
Z,orig,2e_K500,pread,128,4,0,0.00,100.00,203.20,1288.80,1492.00,1.43,0.00,10.00,0.57,55201544
Z,orig,2e_K500,async,128,4,0,0.00,57.90,204.25,277.01,481.26,1.43,0.00,10.00,0.57,55213680
Z,orig,2f_slru,pread,128,4,0,0.00,100.00,117.48,2339.22,2456.70,1.42,0.00,10.00,0.57,55213216
Z,orig,2f_slru,async,128,4,0,0.00,76.80,115.88,355.35,471.23,1.43,0.00,10.00,0.60,55213152
Z,vacuum,layers_5,pread,128,4,0,0.00,100.00,213.86,752.72,966.58,1.43,1.00,12.00,0.60,55213576
