memory_condition,backend,strategy_key,metric,sample_count,mean,median,p25,p75,p99,min,max,reference_mean,change_percent
unlimited,pread,residency_topk_interior5_leaf0_i5_l0,successful_selected_resident_ratio,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
unlimited,pread,residency_topk_interior5_leaf5_i5_l5,prefetch_elapsed_us,5,232.6,291.0,137.0,294.0,308.0,133.0,308.0,232.6,0.0
unlimited,pread,residency_topk_interior5_leaf5_i5_l5,first_query_latency_us,5,87.686,19.77,18.21,19.97,363.16,17.32,363.16,87.686,0.0
unlimited,pread,residency_topk_interior5_leaf5_i5_l5,effective_first_query_latency_us,5,320.286,313.97,310.77,325.32,500.16,151.21,500.16,320.286,0.0
unlimited,pread,residency_topk_interior5_leaf5_i5_l5,average_latency_us,5,45.094,44.21,43.54,45.26,49.37,43.09,49.37,45.094,0.0
unlimited,pread,residency_topk_interior5_leaf5_i5_l5,major_page_faults,5,255.6,253.0,245.0,256.0,280.0,244.0,280.0,255.6,0.0
unlimited,pread,residency_topk_interior5_leaf5_i5_l5,minor_page_faults,5,64.8,64.0,63.0,70.0,72.0,55.0,72.0,64.8,0.0
unlimited,pread,residency_topk_interior5_leaf5_i5_l5,resident_after_cold_pages,5,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,0.0
unlimited,pread,residency_topk_interior5_leaf5_i5_l5,requested_selected_resident_ratio,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
unlimited,pread,residency_topk_interior5_leaf5_i5_l5,successful_selected_resident_ratio,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
