workload,db,strategy,arm,ra_kb,rep,warmup,cold_pct,delivery_pct,first_query_us,preproc_us,e2e_us,avg_us,majflt,minflt,load,memavail_kb
B,ta,2e_K500,pread,128,1,1,0.00,100.00,537.18,17645.99,18183.17,2.37,238.00,428.00,1.41,54005272
B,ta,2e_K500,async,128,1,1,0.00,27.20,745.39,983.90,1729.29,2.35,224.00,339.00,1.45,54005228
B,ta,2f_slru,pread,128,1,1,0.00,99.30,425.19,17785.38,18210.57,1.76,11.00,290.00,1.45,54005052
B,ta,2f_slru,async,128,1,1,0.00,99.70,400.98,7573.26,7974.24,2.75,343.00,618.00,1.45,54001344
C,orig,layers_5,pread,128,1,1,0.00,100.00,1018.28,647.71,1665.99,1.60,24.00,25.00,1.45,54003760
C,orig,layers_5,async,128,1,1,0.00,100.00,1025.56,278.27,1303.83,1.59,24.00,25.00,1.45,54004880
C,orig,layers_92,pread,128,1,1,0.00,100.00,634.55,8283.03,8917.58,1.59,24.00,25.00,1.45,54005136
C,orig,layers_92,async,128,1,1,0.00,100.00,635.32,391.39,1026.71,1.60,24.00,25.00,1.45,54007312
C,orig,2d,pread,128,1,1,0.00,100.00,635.13,567.45,1202.58,1.60,24.00,25.00,1.45,54008828
C,orig,2d,async,128,1,1,0.00,100.00,638.86,281.73,920.59,1.60,24.00,25.00,1.45,54011000
C,orig,2e_K10,pread,128,1,1,0.00,100.00,154.64,1409.95,1564.59,1.62,23.00,33.00,1.45,54008180
C,orig,2e_K10,async,128,1,1,0.00,100.00,148.55,307.58,456.13,1.60,23.00,33.00,1.45,54009540
C,orig,2e_K500,pread,128,1,1,0.00,100.00,155.60,2346.62,2502.22,1.53,0.00,36.00,1.45,54011224
C,orig,2e_K500,async,128,1,1,0.00,68.30,154.01,698.99,853.00,1.54,0.00,36.00,1.45,53981552
C,orig,2f_slru,pread,128,1,1,0.00,100.00,102.84,2863.92,2966.76,1.53,0.00,36.00,1.45,53982000
C,orig,2f_slru,async,128,1,1,0.00,100.00,97.16,1096.45,1193.61,1.54,0.00,36.00,1.45,53979832
C,vacuum,layers_5,pread,128,1,1,0.00,100.00,839.55,792.65,1632.20,1.54,14.00,33.00,1.45,53981972
C,vacuum,layers_5,async,128,1,1,0.00,100.00,797.03,269.13,1066.16,1.53,14.00,33.00,1.50,53984712
C,vacuum,layers_92,pread,128,1,1,0.00,100.00,501.23,7564.84,8066.07,1.53,14.00,36.00,1.50,53985324
C,vacuum,layers_92,async,128,1,1,0.00,100.00,475.88,397.18,873.06,1.53,14.00,36.00,1.50,53988820
C,vacuum,2d,pread,128,1,1,0.00,100.00,500.50,631.98,1132.48,1.53,14.00,36.00,1.50,53988120
C,vacuum,2d,async,128,1,1,0.00,100.00,468.42,238.20,706.62,1.53,14.00,36.00,1.50,53987420
C,vacuum,2e_K10,pread,128,1,1,0.00,100.00,188.63,1394.88,1583.51,1.53,12.00,44.00,1.50,53990972
C,vacuum,2e_K10,async,128,1,1,0.00,100.00,185.58,245.41,430.99,1.52,12.00,44.00,1.50,53994028
C,vacuum,2e_K500,pread,128,1,1,0.00,100.00,188.09,2459.15,2647.24,1.49,0.00,30.00,1.50,53993328
C,vacuum,2e_K500,async,128,1,1,0.00,59.80,187.18,639.87,827.05,1.50,0.00,30.00,1.50,53993412
C,vacuum,2f_slru,pread,128,1,1,0.00,100.00,105.51,3263.98,3369.49,1.47,0.00,30.00,1.50,53997428
C,vacuum,2f_slru,async,128,1,1,0.00,100.00,101.29,774.07,875.36,1.47,0.00,30.00,1.50,53998892
C,ta,layers_5,pread,128,1,1,0.00,100.00,814.37,427.52,1241.89,1.61,25.00,27.00,1.50,53998092
C,ta,layers_5,async,128,1,1,0.00,100.00,828.36,216.66,1045.02,1.61,25.00,27.00,1.50,53998756
C,ta,layers_92,pread,128,1,1,0.00,100.00,486.44,975.41,1461.85,1.61,24.00,28.00,1.50,54001600
C,ta,layers_92,async,128,1,1,0.00,50.00,473.67,355.57,829.24,1.63,24.00,28.00,1.50,54002468
C,ta,2d,pread,128,1,1,0.00,100.00,460.84,960.08,1420.92,1.61,24.00,28.00,1.50,54000296
C,ta,2d,async,128,1,1,0.00,47.90,425.95,274.85,700.80,1.62,24.00,28.00,1.50,54003284
C,ta,2e_K10,pread,128,1,1,0.00,100.00,184.14,1952.12,2136.26,1.60,23.00,34.00,1.50,54005936
C,ta,2e_K10,async,128,1,1,0.00,70.70,185.64,285.74,471.38,1.60,23.00,34.00,1.54,54006768
C,ta,2e_K500,pread,128,1,1,0.00,100.00,186.37,3564.32,3750.69,1.56,0.00,38.00,1.54,54007736
C,ta,2e_K500,async,128,1,1,0.00,100.00,190.43,753.47,943.90,1.54,0.00,38.00,1.54,54011608
C,ta,2f_slru,pread,128,1,1,0.00,100.00,104.30,3446.75,3551.05,1.55,0.00,36.00,1.54,54011516
C,ta,2f_slru,async,128,1,1,0.00,100.00,114.15,1050.98,1165.13,1.55,0.00,36.00,1.54,54011940
A,orig,baseline,baseline,128,2,0,0.00,0.00,493.81,0.00,493.81,2.30,222.00,303.00,1.54,54012612
A,vacuum,baseline,baseline,128,2,0,0.00,0.00,644.85,0.00,644.85,2.04,142.00,219.00,1.54,54013060
A,ta,baseline,baseline,128,2,0,0.00,0.00,764.70,0.00,764.70,2.29,224.00,324.00,1.54,54013632
B,orig,baseline,baseline,128,2,0,0.00,0.00,750.70,0.00,750.70,2.38,215.00,306.00,1.54,54015744
B,vacuum,baseline,baseline,128,2,0,0.00,0.00,1026.40,0.00,1026.40,2.13,144.00,237.00,1.54,54017148
B,ta,baseline,baseline,128,2,0,0.00,0.00,774.89,0.00,774.89,2.43,205.00,296.00,1.54,54018712
C,orig,baseline,baseline,128,2,0,0.00,0.00,1057.61,0.00,1057.61,1.60,24.00,25.00,1.54,54022068
C,vacuum,baseline,baseline,128,2,0,0.00,0.00,1002.25,0.00,1002.25,1.54,14.00,33.00,1.54,53994412
C,ta,baseline,baseline,128,2,0,0.00,0.00,947.12,0.00,947.12,1.62,25.00,27.00,1.54,53995824
A,orig,layers_5,pread,128,2,0,0.00,100.00,152.80,637.14,789.94,2.28,230.00,297.00,1.54,53999312
A,orig,layers_5,async,128,2,0,0.00,100.00,386.32,263.37,649.69,2.29,225.00,298.00,1.54,53992392
A,orig,layers_92,pread,128,2,0,0.00,100.00,156.43,8214.42,8370.85,2.23,198.00,307.00,1.58,54009608
A,orig,layers_92,async,128,2,0,0.00,100.00,339.96,404.08,744.04,2.27,209.00,306.00,1.58,54013324
A,orig,2d,pread,128,2,0,0.00,100.00,153.60,1954.79,2108.39,2.33,252.00,329.00,1.58,54012772
A,orig,2d,async,128,2,0,0.00,100.00,378.83,314.26,693.09,2.24,221.00,323.00,1.58,54011856
A,orig,2e_K10,pread,128,2,0,0.00,100.00,154.92,2655.88,2810.80,2.26,226.00,326.00,1.58,54014632
A,orig,2e_K10,async,128,2,0,0.00,100.00,302.09,331.09,633.18,2.29,234.00,333.00,1.58,54015020
A,orig,2e_K500,pread,128,2,0,0.00,100.00,158.47,21297.55,21456.02,2.23,228.00,477.00,1.58,54016640
A,orig,2e_K500,async,128,2,0,0.00,100.00,157.15,1116.05,1273.20,2.19,212.00,440.00,1.58,54016980
A,orig,2f_slru,pread,128,2,0,0.00,100.00,112.45,18402.98,18515.43,1.64,16.00,296.00,1.58,54016024
A,orig,2f_slru,async,128,2,0,0.00,100.00,109.90,7585.52,7695.42,2.46,232.00,575.00,1.58,54003436
A,vacuum,layers_5,pread,128,2,0,0.00,100.00,186.68,811.58,998.26,2.05,143.00,221.00,1.58,54010444
A,vacuum,layers_5,async,128,2,0,0.00,100.00,552.28,297.13,849.41,2.06,143.00,219.00,1.58,54010624
A,vacuum,layers_92,pread,128,2,0,0.00,100.00,189.19,7589.41,7778.60,2.04,142.00,231.00,1.58,54009700
A,vacuum,layers_92,async,128,2,0,0.00,100.00,554.86,420.41,975.27,2.03,142.00,229.00,1.58,54010516
A,vacuum,2d,pread,128,2,0,0.00,100.00,182.80,1381.90,1564.70,2.03,142.00,231.00,1.61,54012220
A,vacuum,2d,async,128,2,0,0.00,100.00,552.71,262.25,814.96,2.05,142.00,229.00,1.61,54013732
A,vacuum,2e_K10,pread,128,2,0,0.00,100.00,185.81,2166.06,2351.87,2.00,143.00,238.00,1.61,54014700
A,vacuum,2e_K10,async,128,2,0,0.00,100.00,549.69,290.35,840.04,2.02,143.00,236.00,1.61,54016432
A,vacuum,2e_K500,pread,128,2,0,0.00,100.00,202.93,44614.08,44817.01,2.00,138.00,360.00,1.61,54017916
A,vacuum,2e_K500,async,128,2,0,0.00,100.00,190.31,1092.36,1282.67,2.01,145.00,329.00,1.61,54019864
A,vacuum,2f_slru,pread,128,2,0,0.00,100.00,109.17,13964.43,14073.60,1.58,0.00,214.00,1.61,54019760
A,vacuum,2f_slru,async,128,2,0,0.00,100.00,104.74,5748.17,5852.91,1.60,0.00,214.00,1.61,54021144
