experiment_id,cell_id,status,workload_type,layout,memory_condition,memory_limit_enabled,memory_max_bytes,strategy_key,backend,n,interior_k,leaf_k,measurement_file,repetition,selected_interior,selected_leaf,syscall_count,prefetch_elapsed_us,first_query_latency_us,average_latency_us,major_page_faults,minor_page_faults,resident_after_cold_pages,requested_selected_resident_ratio,successful_selected_resident_ratio
smoke,91f759dd2a19832196585db49846759a4563ee00892ca8f4a4090c66c9fb5019,completed,read_zipf_full,original,unlimited,false,,residency_topk_interior5_leaf0_i5_l0,pread,,5,0,read_zipf_full_033.txt,1,5,0,5,129,433.94,46.02,253,72,21,1.0,1.0
smoke,cbedf74d9ac9f8b96204acf56df559e8845e074980fc81f396c261c02d4a79e4,completed,read_zipf_full,original,unlimited,false,,residency_topk_interior5_leaf0_i5_l0,pread,,5,0,read_zipf_full_036.txt,1,5,0,5,134,36.29,41.73,245,62,21,1.0,1.0
smoke,8eb34f0db4cf6ef562d3067084cc64b4f12db7c164be822d1eb3fd5d9f8c32c8,completed,read_zipf_full,original,unlimited,false,,residency_topk_interior5_leaf5_i5_l5,madvise,,5,5,read_zipf_full_034.txt,1,5,5,10,8,24.78,43.54,244,65,18,1.0,1.0
smoke,de872a62b8f7806c0a7ba4ae875398d89821c3d4958b04541ceb388cc1bd7aa9,completed,read_zipf_full,original,unlimited,false,,residency_topk_interior5_leaf5_i5_l5,madvise,,5,5,read_zipf_full_046.txt,1,5,5,10,6,24.13,43.19,256,70,18,1.0,1.0
smoke,ed1ec61d5b0823d0ec074c2ccc4a404b10aee21ff0766aac19686adc5816b0d8,completed,read_zipf_full,original,unlimited,false,,residency_topk_interior5_leaf5_i5_l5,madvise,,5,5,read_zipf_full_027.txt,1,5,5,10,7,17.39,56.04,280,55,18,1.0,1.0
smoke,35336d8de9687eb1830ca116d0da0597cd845aa60897318bc3fb25e263b99999,completed,read_zipf_full,original,unlimited,false,,residency_topk_interior5_leaf5_i5_l5,madvise,,5,5,read_zipf_full_033.txt,1,5,5,10,9,380.75,46.68,254,72,18,1.0,1.0
smoke,50789aaf4f201ace3999f1e0918b766c4b54efb187611879040a9012643de766,completed,read_zipf_full,original,unlimited,false,,residency_topk_interior5_leaf5_i5_l5,madvise,,5,5,read_zipf_full_036.txt,1,5,5,10,6,21.96,43.05,245,63,18,1.0,1.0
smoke,f83147c2b3087a601e270f18dfe7297522fca6c451774b720523f3d4c00ff669,completed,read_zipf_full,original,unlimited,false,,residency_topk_interior5_leaf5_i5_l5,pread,,5,5,read_zipf_full_034.txt,1,5,5,10,133,18.21,43.54,244,64,21,1.0,1.0
smoke,0e0c472b91978f1361e4a26d742fd4ed005dc5a347b5214130b7eda2f159c938,completed,read_zipf_full,original,unlimited,false,,residency_topk_interior5_leaf5_i5_l5,pread,,5,5,read_zipf_full_046.txt,1,5,5,10,308,17.32,44.21,256,70,21,1.0,1.0
smoke,d2a2a9127e6e36e1e9a087ce360003c32a4a702361172154b657d4d8fee6bde0,completed,read_zipf_full,original,unlimited,false,,residency_topk_interior5_leaf5_i5_l5,pread,,5,5,read_zipf_full_027.txt,1,5,5,10,291,19.77,49.37,280,55,21,1.0,1.0
smoke,762bc88460ff8f3fcfd31c64721525a0c7cb527c4b38686d1601f1c445e84c09,completed,read_zipf_full,original,unlimited,false,,residency_topk_interior5_leaf5_i5_l5,pread,,5,5,read_zipf_full_033.txt,1,5,5,10,137,363.16,45.26,253,72,21,1.0,1.0
smoke,a78fc1094bf8d44b4aa449147e452f9d79505212815af545138081f6686f743b,completed,read_zipf_full,original,unlimited,false,,residency_topk_interior5_leaf5_i5_l5,pread,,5,5,read_zipf_full_036.txt,1,5,5,10,294,19.97,43.09,245,63,21,1.0,1.0
